Master.Protein.Accessions	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20
A0AVT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8200000	42400000	5200000	16400000
A1L020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9e+06	0	0	3300000	0	0
A1L0T0	0	0	0	1900000	0	0	670000	0	9200000	3500000	820000	0	0	0	0	0	0	0	0	0
A1L390	0	0	0	0	0	0	0	6800000	5e+07	6300000	9e+05	0	0	0	0	0	0	0	0	0
A1X283	0	0	0	0	2200000	0	0	12600000	16800000	20700000	0	0	0	0	0	0	0	0	0	2900000
A2RRP1	0	0	5300000	0	0	0	0	3170000	15800000	8300000	0	5900000	0	0	0	0	0	0	0	0
A5A6H5	0	0	6700000	970000	0	0	2300000	29300000	845600000	703200000	2.57e+08	1.74e+08	3300000	6600000	0	0	0	0	0	0
A5A6K4	0	0	9600000	4700000	0	1700000	11100000	0	0	0	0	1.8e+07	72400000	1.36e+08	9.5e+07	112600000	2.3e+07	224100000	60400000	130100000
A5A6M3	0	0	0	0	0	0	1800000	0	7.9e+07	0	34300000	97900000	2.03e+08	5.21e+08	5.09e+08	243500000	56800000	9.2e+07	4.3e+07	68100000
A5YKK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8800000	7e+06	1e+07	0	0	0
A6NGN9	0	0	1.5e+07	6e+06	2e+06	3200000	0	4e+06	9e+06	4600000	0	0	0	0	0	0	0	0	0	0
A6NHR9	0	0	0	0	0	0	0	0	0	0	0	0	1.6e+07	5600000	15900000	7700000	37800000	38100000	8500000	151800000
A8MVW0	0	0	2800000	0	0	0	0	0	2200000	0	0	0	0	0	0	0	0	0	0	0
A8MYA2	0	0	6500000	3900000	1300000	7100000	4300000	34200000	106900000	53900000	1.9e+07	12500000	0	1.1e+07	0	22700000	18600000	0	0	0
B7ZC77	0	0	0	0	0	0	0	0	4100000	0	0	0	0	0	0	0	0	0	0	0
F1PT61	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6e+07	0	0	0	0	0	0
H7BZ55	0	0	30500000	1.2e+07	4800000	1.7e+07	11300000	7.8e+07	2.1e+08	1.74e+08	1.37e+08	9.6e+07	4.3e+07	8.7e+07	90900000	47400000	7200000	81400000	65200000	6.5e+07
O00116	0	0	0	0	0	0	830000	1.6e+07	58400000	80900000	2.2e+07	70100000	0	0	0	0	0	0	0	0
O00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2500000	0	2600000	0	1900000
O00148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7700000	0	0
