Cluster	category	obsRatio	expRatio	bgRatio	foldEnrich	pvalue	ontology	BH	Description	numDEInCat	numInCat	Foreground	Background	geneID	geneNames
F2	GO:0045296	16/40	2/40	256/7365	8	2.89049104165212e-08	MF	0.000306658983282414	(MF) cadherin binding	16	256	40	7365	O60716/O75369/P14618/P15880/P21333/P49327/Q05682/Q08379/Q09666/Q14847/Q15149/Q15365/Q16643/Q8NC51/Q9P0L0/Q9Y490	CTNND1/FLNB/PKM/RPS2/FLNA/FASN/CALD1/GOLGA2/AHNAK/LASP1/PLEC/PCBP1/DBN1/SERBP1/VAPA/TLN1
F2	GO:0005925	18/40	2/40	331/7365	9	4.614535900721e-08	CC	0.000306658983282414	(CC) focal adhesion	18	331	40	7365	O43491/O75369/P04792/P07237/P15880/P21333/P27348/P30101/P36578/P46777/P61026/P62917/Q00610/Q09666/Q14847/Q15149/Q7L576/Q9Y490	EPB41L2/FLNB/HSPB1/P4HB/RPS2/FLNA/YWHAQ/PDIA3/RPL4/RPL5/RAB10/RPL8/CLTC/AHNAK/LASP1/PLEC/CYFIP1/TLN1
F2	GO:0005886	20/40	7/40	1275/7365	2.86	1.25573731378451e-06	CC	0.00556333487916999	(CC) plasma membrane	20	1275	40	7365	O00159/O43491/O60716/O75369/P04792/P04899/P05023/P21333/P49327/P55011/P61026/Q00610/Q05682/Q09666/Q15084/Q15149/Q8NC51/Q9NZM1/Q9P0L0/Q9Y2J2	MYO1C/EPB41L2/CTNND1/FLNB/HSPB1/GNAI2/ATP1A1/FLNA/FASN/SLC12A2/RAB10/CLTC/CALD1/AHNAK/PDIA6/PLEC/SERBP1/MYOF/VAPA/EPB41L3
F2	GO:0070062	28/40	7/40	1188/7365	4	4.60014728347273e-06	CC	0.015285139386159	(CC) extracellular exosome	28	1188	40	7365	O00159/O43491/O60716/O75369/P04792/P04899/P05023/P07237/P07437/P14618/P15880/P21333/P27348/P30101/P36578/P46777/P49327/P55011/P61026/Q00610/Q09666/Q15084/Q15149/Q15365/Q7L576/Q8NC51/Q9NZM1/Q9Y490	MYO1C/EPB41L2/CTNND1/FLNB/HSPB1/GNAI2/ATP1A1/P4HB/TUBB/PKM/RPS2/FLNA/YWHAQ/PDIA3/RPL4/RPL5/FASN/SLC12A2/RAB10/CLTC/AHNAK/PDIA6/PLEC/PCBP1/CYFIP1/SERBP1/MYOF/TLN1
F2	GO:1903561	5/40	1/40	28/7365	5	1.56156805914519e-05	CC	0.0415096021481975	(CC) extracellular vesicle	5	28	40	7365	P04899/P05023/P14618/P55011/Q00610	GNAI2/ATP1A1/PKM/SLC12A2/CLTC
F3	GO:0016020	130/243	46/243	1369/7365	2.83	1.48666459968158e-16	CC	9.95488352866534e-13	(CC) membrane	130	1369	243	7365	O00159/O00203/O00299/O14578/O14617/O14745/O14980/O43264/O60664/O60763/P00387/P04406/P04899/P05023/P05198/P05388/P06733/P07355/P07737/P07814/P07910/P08133/P09874/P10809/P11413/P11586/P12956/P13639/P15880/P16615/P18124/P19338/P20700/P21333/P22626/P23396/P23528/P26373/P26599/P26641/P27348/P27708/P27824/P30041/P31689/P33176/P35579/P36578/P39748/P40222/P42704/P43243/P46776/P46777/P47914/P48444/P49327/P49411/P50402/P50851/P50914/P51114/P52272/P52292/P52597/P53618/P53621/P53985/P55011/P55060/P55209/P58107/P60660/P61221/P61353/P62280/P62424/P62753/P62847/P62917/P63010/P78527/P83731/P84098/Q00610/Q00839/Q01970/Q02543/Q04637/Q07020/Q07065/Q09666/Q10471/Q13813/Q14203/Q14204/Q14573/Q14789/Q14974/Q15021/Q15149/Q15365/Q15366/Q15717/Q5T4S7/Q5VV42/Q63HN8/Q6DD88/Q6P2E9/Q71RC2/Q7KZF4/Q7Z6Z7/Q8N1F7/Q8NC51/Q8TEX9/Q8WUM4/Q8WWM7/Q92616/Q93008/Q96AG4/Q96I24/Q99805/Q9BSJ8/Q9H0D6/Q9H307/Q9NR09/Q9P2E9/Q9ULH0/Q9UPN3/Q9Y4I1	MYO1C/AP3B1/CLIC1/CIT/AP3D1/SLC9A3R1/XPO1/ZW10/PLIN3/USO1/CYB5R3/GAPDH/GNAI2/ATP1A1/EIF2S1/RPLP0/ENO1/ANXA2/PFN1/EPRS/HNRNPC/ANXA6/PARP1/HSPD1/G6PD/MTHFD1/XRCC6/EEF2/RPS2/ATP2A2/RPL7/NCL/LMNB1/FLNA/HNRNPA2B1/RPS3/CFL1/RPL13/PTBP1/EEF1G/YWHAQ/CAD/CANX/PRDX6/DNAJA1/KIF5B/MYH9/RPL4/FEN1/TXLNA/LRPPRC/MATR3/RPL27A/RPL5/RPL29/ARCN1/FASN/TUFM/EMD/LRBA/RPL14/FXR1/HNRNPM/KPNA2/HNRNPF/COPB1/COPA/SLC16A1/SLC12A2/CSE1L/NAP1L1/EPPK1/MYL6/ABCE1/RPL27/RPS11/RPL7A/RPS6/RPS24/RPL8/AP2B1/PRKDC/RPL24/RPL19/CLTC/HNRNPU/PLCB3/RPL18A/EIF4G1/RPL18/CKAP4/AHNAK/GALNT2/SPTAN1/DCTN1/DYNC1H1/ITPR3/GOLGB1/KPNB1/NCAPD2/PLEC/PCBP1/PCBP2/ELAVL1/UBR4/CDKAL1/RNF213/ATL3/EDC4/LARP4/SND1/HUWE1/NUP93/SERBP1/IPO4/PDCD6IP/ATXN2L/GCN1/USP9X/LRRC59/FUBP3/TM9SF2/ESYT1/XRN2/PNN/BIRC6/RRBP1/KIDINS220/MACF1/MYO5A
F3	GO:0045296	60/243	9/243	256/7365	6.67	1.49798864324209e-16	MF	9.95488352866534e-13	(MF) cadherin binding	60	256	243	7365	O00299/O00571/O60664/O60716/O60763/O75369/O95292/P06733/P07737/P13639/P14618/P15880/P18031/P18206/P21333/P26641/P29692/P30041/P33176/P35221/P35579/P37802/P46940/P47756/P47914/P49327/P50402/P50914/P50990/P55196/P62424/P62750/P62820/P63104/P63244/P83731/Q00341/Q01970/Q07157/Q08379/Q09666/Q13813/Q14247/Q14258/Q14847/Q15149/Q15365/Q16643/Q16658/Q32MZ4/Q7KZF4/Q7Z2W4/Q8NC51/Q8WWM7/Q92616/Q96AG4/Q9P0L0/Q9UPN3/Q9Y266/Q9Y490	CLIC1/DDX3X/PLIN3/CTNND1/USO1/FLNB/VAPB/ENO1/PFN1/EEF2/PKM/RPS2/PTPN1/VCL/FLNA/EEF1G/EEF1D/PRDX6/KIF5B/CTNNA1/MYH9/TAGLN2/IQGAP1/CAPZB/RPL29/FASN/EMD/RPL14/CCT8/AFDN/RPL7A/RPL23A/RAB1A/YWHAZ/RACK1/RPL24/HDLBP/PLCB3/TJP1/GOLGA2/AHNAK/SPTAN1/CTTN/TRIM25/LASP1/PLEC/PCBP1/DBN1/FSCN1/LRRFIP1/SND1/ZC3HAV1/SERBP1/ATXN2L/GCN1/LRRC59/VAPA/MACF1/NUDC/TLN1
F3	GO:0003723	121/243	39/243	1163/7365	3.1	3.58351009609015e-11	MF	1.58761442290447e-07	(MF) RNA binding	121	1163	243	7365	O00571/O14980/O43390/O43707/O60763/O60841/O75369/O75534/P04792/P05198/P05388/P05455/P06733/P07237/P07355/P07737/P07910/P09874/P10809/P12956/P13639/P14618/P15880/P18031/P18124/P18621/P19338/P21291/P21333/P22314/P22626/P23246/P23396/P23588/P26373/P26599/P27816/P27824/P30101/P35221/P35579/P36578/P38646/P40227/P42704/P43243/P46776/P46777/P47914/P48444/P49327/P49368/P49411/P50914/P50991/P51114/P52272/P52292/P52597/P54886/P55072/P55209/P58107/P61353/P62280/P62424/P62750/P62753/P62847/P62917/P63104/P63244/P67809/P78527/P83731/P84098/Q00341/Q00610/Q00839/Q02543/Q04637/Q07020/Q07065/Q08J23/Q09666/Q13148/Q13247/Q13263/Q14103/Q14157/Q14204/Q14258/Q14789/Q14974/Q14978/Q15149/Q15365/Q15366/Q15654/Q15717/Q15942/Q16658/Q71RC2/Q7KZF4/Q7Z2W4/Q7Z6Z7/Q8NC51/Q8WWM7/Q92616/Q92973/Q96AG4/Q96I24/Q99873/Q9H0D6/Q9H307/Q9HCE1/Q9P2E9/Q9UPN3/Q9UQ35/Q9Y3F4/Q9Y4I1	DDX3X/XPO1/HNRNPR/ACTN4/USO1/EIF5B/FLNB/CSDE1/HSPB1/EIF2S1/RPLP0/SSB/ENO1/P4HB/ANXA2/PFN1/HNRNPC/PARP1/HSPD1/XRCC6/EEF2/PKM/RPS2/PTPN1/RPL7/RPL17/NCL/CSRP1/FLNA/UBA1/HNRNPA2B1/SFPQ/RPS3/EIF4B/RPL13/PTBP1/MAP4/CANX/PDIA3/CTNNA1/MYH9/RPL4/HSPA9/CCT6A/LRPPRC/MATR3/RPL27A/RPL5/RPL29/ARCN1/FASN/CCT3/TUFM/RPL14/CCT4/FXR1/HNRNPM/KPNA2/HNRNPF/ALDH18A1/VCP/NAP1L1/EPPK1/RPL27/RPS11/RPL7A/RPL23A/RPS6/RPS24/RPL8/YWHAZ/RACK1/YBX1/PRKDC/RPL24/RPL19/HDLBP/CLTC/HNRNPU/RPL18A/EIF4G1/RPL18/CKAP4/NSUN2/AHNAK/TARDBP/SRSF6/TRIM28/HNRNPD/UBAP2L/DYNC1H1/TRIM25/GOLGB1/KPNB1/NOLC1/PLEC/PCBP1/PCBP2/TRIP6/ELAVL1/ZYX/FSCN1/LARP4/SND1/ZC3HAV1/HUWE1/SERBP1/ATXN2L/GCN1/TNPO1/LRRC59/FUBP3/PRMT1/XRN2/PNN/MOV10/RRBP1/MACF1/SRRM2/STRAP/MYO5A
F3	GO:0005515	216/243	168/243	5063/7365	1.29	1.71238356601346e-07	MF	0.000568982249397124	(MF) protein binding	216	5063	243	7365	O00159/O00299/O00571/O14578/O14745/O14980/O15027/O15479/O43264/O43390/O43491/O43707/O60664/O60716/O60763/O60841/O75369/O75396/O75534/O75962/O95292/O95819/O96013/P00387/P04406/P04792/P04899/P05023/P05198/P05388/P05455/P06733/P07237/P07355/P07437/P07737/P07814/P07910/P08133/P08243/P09874/P10809/P11413/P11586/P12956/P13489/P13639/P14618/P15880/P16615/P18031/P18124/P18206/P18621/P19338/P20700/P21333/P22314/P22626/P23246/P23396/P23528/P23588/P26373/P26599/P26640/P26641/P27348/P27816/P27824/P29692/P30041/P30101/P31689/P32119/P33176/P35221/P35579/P35580/P36578/P37802/P38646/P39748/P40222/P40227/P40763/P40939/P42704/P43243/P46776/P46777/P46940/P47756/P49006/P49321/P49327/P49368/P49411/P50402/P50914/P50990/P50991/P51114/P51149/P52272/P52292/P52597/P53618/P54886/P55011/P55060/P55072/P55196/P55209/P60660/P61019/P61026/P61106/P61221/P61353/P62140/P62280/P62424/P62750/P62753/P62820/P63010/P63104/P63151/P63244/P67809/P78371/P78527/P83731/P84098/Q00341/Q00610/Q00839/Q01970/Q02543/Q02952/Q04637/Q07157/Q08379/Q09666/Q10471/Q12769/Q13148/Q13162/Q13247/Q13263/Q13813/Q14103/Q14157/Q14203/Q14204/Q14247/Q14258/Q14573/Q14789/Q14847/Q14974/Q14978/Q15021/Q15084/Q15149/Q15365/Q15366/Q15654/Q15717/Q15942/Q16643/Q16658/Q32MZ4/Q5T4S7/Q5VV42/Q6DD88/Q6P2E9/Q71RC2/Q7KZF4/Q7L576/Q7Z2W4/Q7Z6Z7/Q8N1F7/Q8NBS9/Q8NC51/Q8TEX9/Q8WUM4/Q8WWM7/Q8WX93/Q8WXH0/Q92598/Q92973/Q93008/Q96I24/Q96N67/Q99873/Q99996/Q9BSJ8/Q9H0D6/Q9H307/Q9HCE1/Q9NR09/Q9NTJ3/Q9NTJ5/Q9NZM1/Q9P035/Q9P0L0/Q9UL25/Q9UPN3/Q9UPN4/Q9Y266/Q9Y2J2/Q9Y3F4/Q9Y490/Q9Y4I1	MYO1C/CLIC1/DDX3X/CIT/SLC9A3R1/XPO1/SEC16A/MAGEB2/ZW10/HNRNPR/EPB41L2/ACTN4/PLIN3/CTNND1/USO1/EIF5B/FLNB/SEC22B/CSDE1/TRIO/VAPB/MAP4K4/PAK4/CYB5R3/GAPDH/HSPB1/GNAI2/ATP1A1/EIF2S1/RPLP0/SSB/ENO1/P4HB/ANXA2/TUBB/PFN1/EPRS/HNRNPC/ANXA6/ASNS/PARP1/HSPD1/G6PD/MTHFD1/XRCC6/RNH1/EEF2/PKM/RPS2/ATP2A2/PTPN1/RPL7/VCL/RPL17/NCL/LMNB1/FLNA/UBA1/HNRNPA2B1/SFPQ/RPS3/CFL1/EIF4B/RPL13/PTBP1/VARS/EEF1G/YWHAQ/MAP4/CANX/EEF1D/PRDX6/PDIA3/DNAJA1/PRDX2/KIF5B/CTNNA1/MYH9/MYH10/RPL4/TAGLN2/HSPA9/FEN1/TXLNA/CCT6A/STAT3/HADHA/LRPPRC/MATR3/RPL27A/RPL5/IQGAP1/CAPZB/MARCKSL1/NASP/FASN/CCT3/TUFM/EMD/RPL14/CCT8/CCT4/FXR1/RAB7A/HNRNPM/KPNA2/HNRNPF/COPB1/ALDH18A1/SLC12A2/CSE1L/VCP/AFDN/NAP1L1/MYL6/RAB2A/RAB10/RAB14/ABCE1/RPL27/PPP1CB/RPS11/RPL7A/RPL23A/RPS6/RAB1A/AP2B1/YWHAZ/PPP2R2A/RACK1/YBX1/CCT2/PRKDC/RPL24/RPL19/HDLBP/CLTC/HNRNPU/PLCB3/RPL18A/AKAP12/EIF4G1/TJP1/GOLGA2/AHNAK/GALNT2/NUP160/TARDBP/PRDX4/SRSF6/TRIM28/SPTAN1/HNRNPD/UBAP2L/DCTN1/DYNC1H1/CTTN/TRIM25/ITPR3/GOLGB1/LASP1/KPNB1/NOLC1/NCAPD2/PDIA6/PLEC/PCBP1/PCBP2/TRIP6/ELAVL1/ZYX/DBN1/FSCN1/LRRFIP1/UBR4/CDKAL1/ATL3/EDC4/LARP4/SND1/CYFIP1/ZC3HAV1/HUWE1/NUP93/TXNDC5/SERBP1/IPO4/PDCD6IP/ATXN2L/PALLD/SYNE2/HSPH1/TNPO1/USP9X/FUBP3/DOCK7/PRMT1/AKAP9/ESYT1/XRN2/PNN/MOV10/BIRC6/SMC4/SACM1L/MYOF/HACD3/VAPA/RAB21/MACF1/CEP131/NUDC/EPB41L3/STRAP/TLN1/MYO5A
F3	GO:0005829	167/243	104/243	3143/7365	1.61	5.78225120475003e-07	CC	0.00153703801524665	(CC) cytosol	167	3143	243	7365	O00159/O00571/O14578/O14980/O15027/O43264/O43491/O43707/O60664/O60716/O60763/O60841/O75369/O75534/O75962/P04406/P04792/P04899/P05198/P05388/P06733/P07355/P07737/P07814/P07910/P08243/P10809/P11413/P11586/P12956/P13489/P13639/P14618/P15880/P18031/P18124/P18206/P18621/P21333/P22102/P22314/P23396/P23528/P23588/P26373/P26640/P26641/P27348/P27708/P27816/P29692/P30041/P31689/P32119/P33176/P35221/P35579/P35580/P36578/P37802/P40222/P40227/P40763/P46776/P46777/P46940/P47756/P47914/P48444/P49327/P49368/P50914/P50990/P50991/P51114/P51149/P52292/P52597/P53618/P53621/P54886/P55060/P55072/P55196/P60660/P61019/P61026/P61106/P61221/P61353/P62140/P62280/P62424/P62750/P62753/P62820/P62847/P62917/P63010/P63104/P63151/P63244/P67809/P78371/P78527/P83731/P84098/Q00341/Q00610/Q01970/Q02543/Q02952/Q04637/Q06210/Q07020/Q07065/Q07157/Q09666/Q12769/Q13162/Q13813/Q14103/Q14203/Q14204/Q14247/Q14258/Q14974/Q15021/Q15084/Q15149/Q15365/Q15366/Q15654/Q15717/Q15942/Q16658/Q32MZ4/Q5T4S7/Q63HN8/Q6P2E9/Q71RC2/Q7KZF4/Q7L576/Q7Z2W4/Q7Z6Z7/Q8NC51/Q8WUM4/Q8WWM7/Q8WX93/Q92598/Q92616/Q92973/Q93008/Q99873/Q99996/Q9H910/Q9HCE1/Q9NTJ3/Q9P035/Q9UL25/Q9ULH0/Q9UPN4/Q9Y266/Q9Y2J2/Q9Y3F4/Q9Y490/Q9Y4I1	MYO1C/DDX3X/CIT/XPO1/SEC16A/ZW10/EPB41L2/ACTN4/PLIN3/CTNND1/USO1/EIF5B/FLNB/CSDE1/TRIO/GAPDH/HSPB1/GNAI2/EIF2S1/RPLP0/ENO1/ANXA2/PFN1/EPRS/HNRNPC/ASNS/HSPD1/G6PD/MTHFD1/XRCC6/RNH1/EEF2/PKM/RPS2/PTPN1/RPL7/VCL/RPL17/FLNA/GART/UBA1/RPS3/CFL1/EIF4B/RPL13/VARS/EEF1G/YWHAQ/CAD/MAP4/EEF1D/PRDX6/DNAJA1/PRDX2/KIF5B/CTNNA1/MYH9/MYH10/RPL4/TAGLN2/TXLNA/CCT6A/STAT3/RPL27A/RPL5/IQGAP1/CAPZB/RPL29/ARCN1/FASN/CCT3/RPL14/CCT8/CCT4/FXR1/RAB7A/KPNA2/HNRNPF/COPB1/COPA/ALDH18A1/CSE1L/VCP/AFDN/MYL6/RAB2A/RAB10/RAB14/ABCE1/RPL27/PPP1CB/RPS11/RPL7A/RPL23A/RPS6/RAB1A/RPS24/RPL8/AP2B1/YWHAZ/PPP2R2A/RACK1/YBX1/CCT2/PRKDC/RPL24/RPL19/HDLBP/CLTC/PLCB3/RPL18A/AKAP12/EIF4G1/GFPT1/RPL18/CKAP4/TJP1/AHNAK/NUP160/PRDX4/SPTAN1/HNRNPD/DCTN1/DYNC1H1/CTTN/TRIM25/KPNB1/NCAPD2/PDIA6/PLEC/PCBP1/PCBP2/TRIP6/ELAVL1/ZYX/FSCN1/LRRFIP1/UBR4/RNF213/EDC4/LARP4/SND1/CYFIP1/ZC3HAV1/HUWE1/SERBP1/PDCD6IP/ATXN2L/PALLD/HSPH1/GCN1/TNPO1/USP9X/PRMT1/AKAP9/JPT2/MOV10/SMC4/HACD3/RAB21/KIDINS220/CEP131/NUDC/EPB41L3/STRAP/TLN1/MYO5A
