Cluster	category	obsRatio	expRatio	bgRatio	foldEnrich	pvalue	numDEInCat	numInCat	Foreground	Background	geneID	geneNames
F3	ARM-type_fold	21/243	9/243	274/7398	2.33	2.32476056051809e-06	21	274	243	7398	O00203/O14617/O14980/O60716/O60763/P50851/P52292/P53618/P55060/P63010/P78527/Q00610/Q04637/Q14974/Q15021/Q5T4S7/Q7Z6Z7/Q8TEX9/Q92616/Q92973/Q93008	AP3B1/AP3D1/XPO1/CTNND1/USO1/LRBA/KPNA2/COPB1/CSE1L/AP2B1/PRKDC/CLTC/EIF4G1/KPNB1/NCAPD2/UBR4/HUWE1/IPO4/GCN1/TNPO1/USP9X
F6	ARM-type_fold	17/157	6/157	274/7398	2.83	7.18798848712971e-07	17	274	157	7398	O00203/O14617/O14980/O60716/O60763/P50851/P52292/P53618/P55060/P63010/P78527/Q00610/Q14974/Q5SRE5/Q92616/Q92973/Q93008	AP3B1/AP3D1/XPO1/CTNND1/USO1/LRBA/KPNA2/COPB1/CSE1L/AP2B1/PRKDC/CLTC/KPNB1/NUP188/GCN1/TNPO1/USP9X
F6	ARM-like	12/157	4/157	156/7398	3	7.30134610930089e-06	12	156	157	7398	O14617/O14980/O60716/O60763/P50851/P52292/P53618/P55060/P63010/Q14974/Q92616/Q92973	AP3D1/XPO1/CTNND1/USO1/LRBA/KPNA2/COPB1/CSE1L/AP2B1/KPNB1/GCN1/TNPO1
F6	Disulphide_isomerase	5/157	1/157	5/7398	5	7.31865114439954e-06	5	5	157	7398	P07237/P13667/P30101/Q15084/Q8NBS9	P4HB/PDIA4/PDIA3/PDIA6/TXNDC5
F7	Plakin_repeat_sf	4/172	1/172	6/7398	4	8.06011563347081e-06	4	6	172	7398	P15924/P58107/Q15149/Q9UPN3	DSP/EPPK1/PLEC/MACF1
F7	Plectin_repeat	4/172	1/172	6/7398	4	8.06011563347081e-06	4	6	172	7398	P15924/P58107/Q15149/Q9UPN3	DSP/EPPK1/PLEC/MACF1
F7	Disulphide_isomerase	5/172	1/172	5/7398	5	9.60339698610291e-06	5	5	172	7398	P07237/P13667/P30101/Q15084/Q8NBS9	P4HB/PDIA4/PDIA3/PDIA6/TXNDC5
F8	Nucleotide-bd_a/b_plait_sf	29/298	7/298	173/7398	4.14	6.71089665962732e-06	29	173	298	7398	O15042/P05455/P07910/P11940/P19338/P22626/P23246/P23588/P26599/P35637/P51991/P52272/P52597/P62750/P62995/P84103/Q07955/Q12849/Q13247/Q13310/Q14103/Q15233/Q15717/Q16629/Q96PK6/Q9BXP5/Q9GZT3/Q9NWH9/Q9UN86	U2SURP/SSB/HNRNPC/PABPC1/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/FUS/HNRNPA3/HNRNPM/HNRNPF/RPL23A/TRA2B/SRSF3/SRSF1/GRSF1/SRSF6/PABPC4/HNRNPD/NONO/ELAVL1/SRSF7/RBM14-RBM4/RBM14/SRRT/SLIRP/SLTM/G3BP2
F8	RBD_domain_sf	29/298	8/298	174/7398	3.62	6.72668962987238e-06	29	174	298	7398	O15042/P05455/P07910/P11940/P19338/P22626/P23246/P23588/P26599/P35637/P51991/P52272/P52597/P62995/P84103/Q07955/Q12849/Q13247/Q13310/Q14103/Q15233/Q15717/Q16629/Q71RC2/Q96PK6/Q9BXP5/Q9GZT3/Q9NWH9/Q9UN86	U2SURP/SSB/HNRNPC/PABPC1/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/FUS/HNRNPA3/HNRNPM/HNRNPF/TRA2B/SRSF3/SRSF1/GRSF1/SRSF6/PABPC4/HNRNPD/NONO/ELAVL1/SRSF7/LARP4/RBM14-RBM4/RBM14/SRRT/SLIRP/SLTM/G3BP2
F9	RBD_domain_sf	56/491	12/491	174/7398	4.67	2.92468970570625e-15	56	174	491	7398	O14979/O15042/O43390/O60506/O75494/P05455/P07910/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P55884/P62995/P84103/P98179/Q01081/Q01085/Q05519/Q07955/Q12849/Q13148/Q13242/Q13247/Q13283/Q13310/Q14103/Q14498/Q14966/Q15233/Q15424/Q15717/Q16629/Q71RC2/Q96EP5/Q96PK6/Q96T37/Q9BWF3/Q9BXP5/Q9GZT3/Q9NR30/Q9NWH9/Q9UKM9/Q9UN86/Q9Y6M1	HNRNPDL/U2SURP/HNRNPR/SYNCRIP/SRSF10/SSB/HNRNPC/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/EIF3B/TRA2B/SRSF3/RBM3/U2AF1L5/U2AF1/TIAL1/SRSF11/SRSF1/GRSF1/TARDBP/SRSF9/SRSF6/G3BP1/PABPC4/HNRNPD/RBM39/ZNF638/NONO/SAFB/ELAVL1/SRSF7/LARP4/DAZAP1/RBM14-RBM4/RBM14/RBM15/RBM4/SRRT/SLIRP/DDX21/SLTM/RALY/G3BP2/IGF2BP2
F9	RRM_dom	53/491	11/491	153/7398	4.82	1.07009514772318e-14	53	153	491	7398	O14979/O15042/O43390/O60506/O75494/P05455/P07910/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P55884/P62995/P84103/P98179/Q01081/Q01085/Q05519/Q07955/Q12849/Q13148/Q13242/Q13247/Q13283/Q13310/Q14103/Q14498/Q14966/Q15233/Q15424/Q15717/Q16629/Q96EP5/Q96PK6/Q96T37/Q9BWF3/Q9GZT3/Q9NWH9/Q9UKM9/Q9UN86/Q9Y6M1	HNRNPDL/U2SURP/HNRNPR/SYNCRIP/SRSF10/SSB/HNRNPC/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/EIF3B/TRA2B/SRSF3/RBM3/U2AF1L5/U2AF1/TIAL1/SRSF11/SRSF1/GRSF1/TARDBP/SRSF9/SRSF6/G3BP1/PABPC4/HNRNPD/RBM39/ZNF638/NONO/SAFB/ELAVL1/SRSF7/DAZAP1/RBM14-RBM4/RBM14/RBM15/RBM4/SLIRP/SLTM/RALY/G3BP2/IGF2BP2
