Cluster	category	obsRatio	expRatio	bgRatio	foldEnrich	pvalue	numDEInCat	numInCat	Foreground	Background	geneID	geneNames
F9	Ribosome	45/265	10/265	121/3320	4.5	6.69568805357222e-07	45	121	265	3320	P05387/P09001/P15880/P18124/P18621/P23396/P25398/P26373/P27635/P30050/P36578/P39019/P39023/P46776/P46777/P46781/P47914/P49207/P50914/P60866/P61353/P62081/P62241/P62280/P62424/P62750/P62753/P62829/P62841/P62847/P62899/P62917/P82933/P83731/P84098/Q02543/Q02878/Q07020/Q13084/Q5T653/Q6P5R6/Q9BYD1/Q9BYD3/Q9NVS2/Q9P015	RPLP2/MRPL3/RPS2/RPL7/RPL17/RPS3/RPS12/RPL13/RPL10/RPL12/RPL4/RPS19/RPL3/RPL27A/RPL5/RPS9/RPL29/RPL34/RPL14/RPS20/RPL27/RPS7/RPS8/RPS11/RPL7A/RPL23A/RPS6/RPL23/RPS15/RPS24/RPL31/RPL8/MRPS9/RPL24/RPL19/RPL18A/RPL6/RPL18/MRPL28/MRPL2/RPL22L1/MRPL13/MRPL4/MRPS18A/MRPL15
F10	Ribosome	35/217	8/217	121/3320	4.38	0.000138171501150275	35	121	217	3320	P05387/P09001/P15880/P18124/P18621/P30050/P36578/P39023/P46777/P46781/P47914/P49207/P50914/P61247/P61353/P62241/P62269/P62280/P62424/P62750/P62753/P62841/P62847/P62917/P82675/P83731/P84098/Q02543/Q02878/Q07020/Q13084/Q5T653/Q9BYD1/Q9BYD3/Q9NVS2	RPLP2/MRPL3/RPS2/RPL7/RPL17/RPL12/RPL4/RPL3/RPL5/RPS9/RPL29/RPL34/RPL14/RPS3A/RPL27/RPS8/RPS18/RPS11/RPL7A/RPL23A/RPS6/RPS15/RPS24/RPL8/MRPS5/RPL24/RPL19/RPL18A/RPL6/RPL18/MRPL28/MRPL2/MRPL13/MRPL4/MRPS18A
F12	Spliceosome	27/206	8/206	121/3320	3.38	9.76513819159602e-05	27	121	206	3320	O15042/O43143/O43290/O75400/O75494/O75533/O75643/P07910/P08621/P49756/P51991/P52272/P62995/P84103/Q00839/Q01081/Q13242/Q13247/Q13435/Q15365/Q16629/Q5VTL8/Q6P2Q9/Q86V81/Q8IWX8/Q99459/Q9UKV3	U2SURP/DHX15/SART1/PRPF40A/SRSF10/SF3B1/SNRNP200/HNRNPC/SNRNP70/RBM25/HNRNPA3/HNRNPM/TRA2B/SRSF3/HNRNPU/U2AF1L5/U2AF1/SRSF9/SRSF6/SF3B2/PCBP1/SRSF7/PRPF38B/PRPF8/ALYREF/CHERP/CDC5L/ACIN1
F13	Spliceosome	40/227	9/227	121/3320	4.44	9.28181897468279e-12	40	121	227	3320	O15042/O43143/O43290/O75400/O75494/O75533/O75643/O75940/O94906/P07910/P17844/P49756/P51991/P52272/P62995/P84103/Q00839/Q01081/Q07955/Q12874/Q13242/Q13247/Q13435/Q13573/Q15029/Q15365/Q15393/Q15427/Q15428/Q15459/Q16629/Q5VTL8/Q6P2Q9/Q7L014/Q86V81/Q8IWX8/Q8NAV1/Q99459/Q9BUQ8/Q9UKV3	U2SURP/DHX15/SART1/PRPF40A/SRSF10/SF3B1/SNRNP200/SMNDC1/PRPF6/HNRNPC/DDX5/RBM25/HNRNPA3/HNRNPM/TRA2B/SRSF3/HNRNPU/U2AF1L5/U2AF1/SRSF1/SF3A3/SRSF9/SRSF6/SF3B2/SNW1/EFTUD2/PCBP1/SF3B3/SF3B4/SF3A2/SF3A1/SRSF7/PRPF38B/PRPF8/DDX46/ALYREF/CHERP/PRPF38A/CDC5L/DDX23/ACIN1
F13	Ribosome biogenesis in eukaryotes	22/227	5/227	67/3320	4.4	1.15648848787992e-09	22	67	227	3320	O00567/O14980/O60832/P22087/P56537/Q12788/Q13428/Q14692/Q15061/Q15269/Q8IWA0/Q8NI36/Q99575/Q9BVJ6/Q9BVP2/Q9H0A0/Q9H0D6/Q9H583/Q9H6R4/Q9NW13/Q9NX24/Q9Y2X3	NOP56/XPO1/DKC1/FBL/EIF6/TBL3/TCOF1/BMS1/WDR43/LOC102724159/PWP2/WDR75/WDR36/POP1/UTP14A/GNL3/NAT10/XRN2/HEATR1/NOL6/RBM28/NHP2/NOP58
F14	Spliceosome	44/272	10/272	121/3320	4.4	1.38721996570929e-11	44	121	272	3320	O15042/O43143/O43290/O60306/O75400/O75494/O75533/O75643/O75940/P07910/P08621/P09012/P49756/P51991/P52272/P62995/P84103/Q00839/Q01081/Q07955/Q09161/Q12874/Q13242/Q13247/Q13435/Q13573/Q15365/Q15393/Q15427/Q15459/Q16629/Q5VTL8/Q6P2Q9/Q7L014/Q86V81/Q86XP3/Q8IWX8/Q8NAV1/Q96E39/Q99459/Q9BUQ8/Q9UKV3/Q9Y2W2/Q9Y3B4	U2SURP/DHX15/SART1/AQR/PRPF40A/SRSF10/SF3B1/SNRNP200/SMNDC1/HNRNPC/SNRNP70/SNRPA/RBM25/HNRNPA3/HNRNPM/TRA2B/SRSF3/HNRNPU/U2AF1L5/U2AF1/SRSF1/NCBP1/SF3A3/SRSF9/SRSF6/SF3B2/SNW1/PCBP1/SF3B3/SF3B4/SF3A1/SRSF7/PRPF38B/PRPF8/DDX46/ALYREF/DDX42/CHERP/PRPF38A/RBMXL1/CDC5L/DDX23/ACIN1/WBP11/SF3B6
F14	Ribosome biogenesis in eukaryotes	23/272	6/272	67/3320	3.83	5.86695053639588e-09	23	67	272	3320	O00567/O14980/O60832/P22087/Q12788/Q13428/Q14692/Q15061/Q15269/Q8IWA0/Q9BVJ6/Q9BVP2/Q9BZE4/Q9H0A0/Q9H0D6/Q9H583/Q9H6R4/Q9NU22/Q9NW13/Q9NX24/Q9NY12/Q9UNX4/Q9Y2X3	NOP56/XPO1/DKC1/FBL/TBL3/TCOF1/BMS1/WDR43/LOC102724159/PWP2/WDR75/UTP14A/GNL3/GTPBP4/NAT10/XRN2/HEATR1/NOL6/MDN1/RBM28/NHP2/GAR1/WDR3/NOP58
F14	RNA transport	27/272	12/272	135/3320	2.25	0.000235415365590885	27	135	272	3320	O14980/O60841/O75821/P05198/P12270/P20042/P23588/P49792/P51114/P52948/P55884/Q04637/Q09161/Q12769/Q13310/Q14974/Q5SRE5/Q86V81/Q8IYB3/Q8N1F7/Q8TEQ6/Q92621/Q9H307/Q9HAV4/Q9UHI6/Q9UKV3/Q9Y3F4	XPO1/EIF5B/EIF3G/EIF2S1/TPR/EIF2S2/EIF4B/RANBP2/FXR1/NUP98/EIF3B/EIF4G1/NCBP1/NUP160/PABPC4/KPNB1/NUP188/ALYREF/SRRM1/NUP93/GEMIN5/NUP205/PNN/XPO5/DDX20/ACIN1/STRAP
F15	Spliceosome	50/295	11/295	121/3320	4.55	2.76775159941064e-14	50	121	295	3320	O14776/O15042/O43143/O43290/O60306/O75400/O75494/O75533/O75643/O75940/O94906/P07910/P08621/P38919/P49756/P51991/P52272/P62318/P62995/P84103/Q00839/Q01081/Q07955/Q12874/Q13242/Q13247/Q13435/Q13573/Q14562/Q15029/Q15365/Q15393/Q15427/Q15428/Q15459/Q16629/Q5VTL8/Q6P2Q9/Q7L014/Q86V81/Q8IWX8/Q8NAV1/Q8NI27/Q8WWY3/Q99459/Q9BUQ8/Q9UKV3/Q9UMS4/Q9Y2W2/Q9Y3B4	TCERG1/U2SURP/DHX15/SART1/AQR/PRPF40A/SRSF10/SF3B1/SNRNP200/SMNDC1/PRPF6/HNRNPC/SNRNP70/EIF4A3/RBM25/HNRNPA3/HNRNPM/SNRPD3/TRA2B/SRSF3/HNRNPU/U2AF1L5/U2AF1/SRSF1/SF3A3/SRSF9/SRSF6/SF3B2/SNW1/DHX8/EFTUD2/PCBP1/SF3B3/SF3B4/SF3A2/SF3A1/SRSF7/PRPF38B/PRPF8/DDX46/ALYREF/CHERP/PRPF38A/THOC2/PRPF31/CDC5L/DDX23/ACIN1/PRPF19/WBP11/SF3B6
F15	RNA transport	39/295	12/295	135/3320	3.25	1.96504908161896e-09	39	135	295	3320	O14980/O15234/O15372/O60841/O75821/O75822/P05198/P11940/P12270/P23588/P38919/P49792/P51114/P51116/P52948/P55010/P55884/P57678/P60228/P78344/Q04637/Q12769/Q13310/Q14152/Q14974/Q5SRE5/Q86V81/Q8IYB3/Q8N1F7/Q8NI27/Q8TEQ6/Q92621/Q92900/Q99575/Q9H307/Q9HAV4/Q9UHI6/Q9UKV3/Q9Y3F4	XPO1/CASC3/EIF3H/EIF5B/EIF3G/EIF3J/EIF2S1/PABPC1/TPR/EIF4B/EIF4A3/RANBP2/FXR1/FXR2/NUP98/EIF5/EIF3B/GEMIN4/EIF3E/EIF4G2/EIF4G1/NUP160/PABPC4/EIF3A/KPNB1/NUP188/ALYREF/SRRM1/NUP93/THOC2/GEMIN5/NUP205/UPF1/POP1/PNN/XPO5/DDX20/ACIN1/STRAP
