Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)
Q7Z478	DHX29_HUMAN	ATP-dependent RNA helicase DHX29 (EC 3.6.4.13) (DEAH box protein 29) (Nucleic acid helicase DDXx)	Homo sapiens (Human)	1369	DHX29	eukaryotic 43S preinitiation complex [GO:0016282]
O43583	DENR_HUMAN	Density-regulated protein (DRP) (Protein DRP1) (Smooth muscle cell-associated protein 3) (SMAP-3)	Homo sapiens (Human)	198	DENR	
A6NMX2	I4E1B_HUMAN	Eukaryotic translation initiation factor 4E type 1B	Homo sapiens (Human)	242	EIF4E1B	eukaryotic translation initiation factor 4F complex [GO:0016281]; mRNA cap binding complex [GO:0005845]
Q2VIR3	IF2GL_HUMAN	Eukaryotic translation initiation factor 2 subunit 3B (Eukaryotic translation initiation factor 2 subunit gamma A) (eIF-2-gamma A) (eIF-2gA)	Homo sapiens (Human)	472	EIF2S3B	cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation initiation factor 2 complex [GO:0005850]
P41091	IF2G_HUMAN	Eukaryotic translation initiation factor 2 subunit 3 (Eukaryotic translation initiation factor 2 subunit gamma X) (eIF-2-gamma X) (eIF-2gX)	Homo sapiens (Human)	472	EIF2S3	cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation initiation factor 2 complex [GO:0005850]; extracellular exosome [GO:0070062]
P46199	IF2M_HUMAN	Translation initiation factor IF-2, mitochondrial (IF-2(Mt)) (IF-2Mt) (IF2(mt))	Homo sapiens (Human)	727	MTIF2	mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
O60841	IF2P_HUMAN	Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2)	Homo sapiens (Human)	1220	EIF5B	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P60842	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	Homo sapiens (Human)	406	EIF4A1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; extracellular exosome [GO:0070062]; membrane [GO:0016020]
O60573	IF4E2_HUMAN	Eukaryotic translation initiation factor 4E type 2 (eIF-4E type 2) (eIF4E type 2) (Eukaryotic translation initiation factor 4E homologous protein) (Eukaryotic translation initiation factor 4E-like 3) (eIF4E-like protein 4E-LP) (mRNA cap-binding protein 4EHP) (h4EHP) (mRNA cap-binding protein type 3)	Homo sapiens (Human)	245	EIF4E2	cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; mRNA cap binding complex [GO:0005845]
P55010	IF5_HUMAN	Eukaryotic translation initiation factor 5 (eIF-5)	Homo sapiens (Human)	431	EIF5	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
