protein	count_glycosylation	N-linked (GlcNAc...) asparagine	O-linked (GalNAc...) threonine	N-linked (GlcNAc...) (complex) asparagine	O-linked (GalNAc...) serine	O-linked (GlcNAc) serine	C-linked (Man) tryptophan	N-linked (Glc) (glycation) lysine	O-linked (Gal...) hydroxylysine	O-linked (GlcNAc) threonine	O-linked (Xyl...) (glycosaminoglycan) serine	O-linked (Fuc...) threonine	O-linked (Xyl...) (chondroitin sulfate) serine	O-linked (Glc...) serine	O-linked (Xyl...) (heparan sulfate) serine	N-linked (GlcNAc...)	N-linked (GlcNAc...) (high mannose) asparagine	O-linked (Fuc...) serine	O-linked (HexNAc...) threonine	N-linked (GlcNAc...) (keratan sulfate) asparagine	N-linked (GlcNAc...) (polylactosaminoglycan) asparagine
A0A024R397	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A173ADG5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
I2G9G1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A0A024R7T2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0U5Q247	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A0A0A8WFP6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
B2RCT9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3KTT7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A158RFS4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Q6PYX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Q6PJ56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
O19707	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
B8YAC7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
E9PMV2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
B2RA81	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q3MI97	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q53HN5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9PIT3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q53HP3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
F8TLS5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F8TLW0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UMQ4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B6ETL5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B2RA30	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L8E864	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A0A024R3T2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B2RDS2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P0DMS8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P32297	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P43681	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P30532	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q05901	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96SE0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08910	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00400	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NPB9	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P78536	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O15204	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q15848	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHX3	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5T601	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96K78	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y653	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6QNK2	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O94910	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BXJ7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q04844	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U3KPV4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96J66	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P22303	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P25106	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H221	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P11229	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P10323	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y3Q7	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P36896	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14246	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IZF3	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IZF2	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P40145	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60241	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H6U8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75882	26	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TE60	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TE59	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y2C3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NY97	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6Y288	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P56817	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P50895	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P17213	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P35070	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7Z6A9	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00478	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00481	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A6NE02	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P21730	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H159	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13634	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P33151	7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P55283	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q15878	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q01668	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NYX4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8WVQ1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P31415	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q66K79	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TE56	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P58397	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8WXS8	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UP79	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKP4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P59510	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NCR0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0J1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02730	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P13497	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P12643	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
P02747	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Q6PL45	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NR16	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N3J6	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13936	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P55291	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75309	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q12864	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9HBT6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UJ99	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16602	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43570	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P41180	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P07339	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UBX1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08311	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8TE57	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UKP5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75173	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2N4	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95450	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BYG0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8NFL0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y2A9	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P61769	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y5Z0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O94766	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y5Z6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43825	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P46663	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P36894	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P32247	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q075Z2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9BXJ1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q7KYR7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8WVV5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6UWJ8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5TEV5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P02745	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
P55290	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86UP0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H251	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75493	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P20160	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UHI8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96Q91	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8N8U9	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95972	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
P59826	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96KV6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13410	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q10589	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UIR0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IVY1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43497	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96HA4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6N8	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P55289	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P12830	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8IXH8	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O95180	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P16870	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UNA0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
O75752	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NPZ5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6ZMB0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9P2W7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q76KP1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96L58	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O43286	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q13145	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NZS9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P23560	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P08236	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
