master_protein	protein_length	protein_description	Intensity.U2OS_1	Intensity.U2OS_2	Intensity.U2OS_3	max
A0AVF1	554	sp|A0AVF1|IFT56_HUMAN	5.518475	6.488678	6.550326	6.550326
A0AVT1	1052	sp|A0AVT1|UBA6_HUMAN	7.045223	7.288964	7.5730995	7.5730995
A0FGR8	921	sp|A0FGR8|ESYT2_HUMAN	6.4627365	6.884022	6.74489	6.884022
A0JLT2	244	sp|A0JLT2|MED19_HUMAN	6.660905	6.235377	6.8880025	6.8880025
A0JNW5	1464	sp|A0JNW5|UH1BL_HUMAN	5.977744	NA	6.745262	6.745262
A0MZ66	631	sp|A0MZ66|SHOT1_HUMAN	6.1316035	6.584885	6.629695	6.629695
A0PJW6	202	sp|A0PJW6|TM223_HUMAN	6.486671	6.645982	7.0534605	7.0534605
A0PK00	339	sp|A0PK00|T120B_HUMAN	7.720655	6.259355	NA	7.720655
A1A4S6	786	sp|A1A4S6|RHG10_HUMAN	5.552972	NA	6.63946	6.63946
A1L020	520	sp|A1L020|MEX3A_HUMAN	NA	NA	6.476063	6.476063
A1L0T0	632	sp|A1L0T0|ILVBL_HUMAN	NA	7.1849865	7.452829	7.452829
A1L390	1219	sp|A1L390|PKHG3_HUMAN	6.5976655	6.646952	7.1238695	7.1238695
A1L3X0	281	sp|A1L3X0|ELOV7_HUMAN	6.285647	6.462862	6.936388	6.936388
A1X283	911	sp|A1X283|SPD2B_HUMAN	6.622266	6.843224	6.91087	6.91087
A2RRD8	509	sp|A2RRD8|ZN320_HUMAN	NA	NA	6.585833	6.585833
A2RRP1	2371	sp|A2RRP1|NBAS_HUMAN	6.391676	6.254669	7.0314735	7.0314735
A2RTX5	802	sp|A2RTX5|SYTC2_HUMAN	6.161368	6.5847755	6.8043895	6.8043895
A2RUC4	315	sp|A2RUC4|TYW5_HUMAN	6.2558925	6.615139	6.820076	6.820076
A2RUS2	1198	sp|A2RUS2|DEND3_HUMAN	NA	NA	6.301876	6.301876
A2VDF0	154	sp|A2VDF0|FUCM_HUMAN	NA	NA	6.273187	6.273187
A2VDJ0	1609	sp|A2VDJ0|T131L_HUMAN	NA	NA	5.794544	5.794544
A3KMH1	1905	sp|A3KMH1|VWA8_HUMAN	5.950412	6.5410595	6.888774	6.888774
A3KN83	1393	sp|A3KN83|SBNO1_HUMAN	5.801349	6.45585	6.870919	6.870919
A4D1E9	387	sp|A4D1E9|GTPBA_HUMAN	6.5509	6.780509	6.847826	6.847826
A4D1P6	747	sp|A4D1P6|WDR91_HUMAN	5.909492	6.163609	6.553352	6.553352
A4D2B8	440	sp|A4D2B8|PM2P1_HUMAN	NA	NA	7.198932	7.198932
A5D8V6	355	sp|A5D8V6|VP37C_HUMAN	6.519198	6.9652485	6.822715	6.9652485
A5PLN9	417	sp|A5PLN9|TPC13_HUMAN	NA	5.953504	6.988902	6.988902
A5YKK6	2376	sp|A5YKK6|CNOT1_HUMAN	6.8358185	6.978537	7.265666	7.265666
A6ND36	823	sp|A6ND36|FA83G_HUMAN	5.804344	6.4204215	6.815428	6.815428
A6NDG6	321	sp|A6NDG6|PGP_HUMAN	6.8244995	6.973765	7.4801415	7.4801415
A6NDU8	294	sp|A6NDU8|CE051_HUMAN	6.261365	6.639367	6.509014	6.639367
