Entry	Entry name	Status	Protein names	Organism	Length	Gene names  (primary )	Glycosylation
A0AVT1	UBA6_HUMAN	reviewed	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	Homo sapiens (Human)	1052	UBA6	
A1L020	MEX3A_HUMAN	reviewed	RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4)	Homo sapiens (Human)	520	MEX3A	
A1L0T0	ILVBL_HUMAN	reviewed	Acetolactate synthase-like protein (EC 2.2.1.-) (IlvB-like protein)	Homo sapiens (Human)	632	ILVBL	
A1L390	PKHG3_HUMAN	reviewed	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)	Homo sapiens (Human)	1219	PLEKHG3	
A1X283	SPD2B_HUMAN	reviewed	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	Homo sapiens (Human)	911	SH3PXD2B	
A2RRP1	NBAS_HUMAN	reviewed	Neuroblastoma-amplified sequence (Neuroblastoma-amplified gene protein)	Homo sapiens (Human)	2371	NBAS	
A5A6H5	ATPA_PANTR	reviewed	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Pan troglodytes (Chimpanzee)	553	ATP5F1A	CARBOHYD 76 76 O-linked (GlcNAc) serine; alternate. {ECO:0000250}.
A5A6K4	PGK1_PANTR	reviewed	Phosphoglycerate kinase 1 (EC 2.7.2.3)	Pan troglodytes (Chimpanzee)	417	PGK1	
A5A6M3	RBMX_PANTR	reviewed	RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	Pan troglodytes (Chimpanzee)	391	RBMX	
A5YKK6	CNOT1_HUMAN	reviewed	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	Homo sapiens (Human)	2376	CNOT1	
A6NGN9	IGLO5_HUMAN	reviewed	IgLON family member 5	Homo sapiens (Human)	336	IGLON5	CARBOHYD 41 41 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 49 49 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 67 67 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 137 137 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 288 288 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
A6NHR9	SMHD1_HUMAN	reviewed	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	Homo sapiens (Human)	2005	SMCHD1	
A8MVW0	F1712_HUMAN	reviewed	Protein FAM171A2	Homo sapiens (Human)	826	FAM171A2	CARBOHYD 66 66 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 201 201 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 221 221 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 265 265 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
A8MYA2	CX049_HUMAN	reviewed	Uncharacterized protein CXorf49	Homo sapiens (Human)	514	CXorf49; CXorf49B	
B7ZC77	CTNA2_DANRE	reviewed	Catenin alpha-2 (Alpha N-catenin)	Danio rerio (Zebrafish) (Brachydanio rerio)	865	Ctnna2	
F1PT61	MYH16_CANLF	reviewed	Myosin-16 (Myosin heavy chain 16)	Canis lupus familiaris (Dog) (Canis familiaris)	1930	MYH16	
H7BZ55	CRCC2_HUMAN	reviewed	Putative ciliary rootlet coiled-coil protein 2	Homo sapiens (Human)	1655	CROCC2	
O00116	ADAS_HUMAN	reviewed	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)	Homo sapiens (Human)	658	AGPS	
O00139	KIF2A_HUMAN	reviewed	Kinesin-like protein KIF2A (Kinesin-2) (hK2)	Homo sapiens (Human)	706	KIF2A	
O00148	DX39A_HUMAN	reviewed	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	Homo sapiens (Human)	427	DDX39A	
O00159	MYO1C_HUMAN	reviewed	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	Homo sapiens (Human)	1063	MYO1C	
O00161	SNP23_HUMAN	reviewed	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	Homo sapiens (Human)	211	SNAP23	
O00180	KCNK1_HUMAN	reviewed	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)	Homo sapiens (Human)	336	KCNK1	CARBOHYD 95 95 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:8978667}.
O00189	AP4M1_HUMAN	reviewed	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4)	Homo sapiens (Human)	453	AP4M1	
O00192	ARVC_HUMAN	reviewed	Armadillo repeat protein deleted in velo-cardio-facial syndrome	Homo sapiens (Human)	962	ARVCF	
O00203	AP3B1_HUMAN	reviewed	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	Homo sapiens (Human)	1094	AP3B1	
O00233	PSMD9_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	Homo sapiens (Human)	223	PSMD9	
O00264	PGRC1_HUMAN	reviewed	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	Homo sapiens (Human)	195	PGRMC1	
O00291	HIP1_HUMAN	reviewed	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	Homo sapiens (Human)	1037	HIP1	
O00299	CLIC1_HUMAN	reviewed	Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	Homo sapiens (Human)	241	CLIC1	
O00308	WWP2_HUMAN	reviewed	NEDD4-like E3 ubiquitin-protein ligase WWP2 (EC 2.3.2.26) (Atrophin-1-interacting protein 2) (AIP2) (HECT-type E3 ubiquitin transferase WWP2) (WW domain-containing protein 2)	Homo sapiens (Human)	870	WWP2	
O00410	IPO5_HUMAN	reviewed	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	Homo sapiens (Human)	1097	IPO5	
O00411	RPOM_HUMAN	reviewed	DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)	Homo sapiens (Human)	1230	POLRMT	
O00429	DNM1L_HUMAN	reviewed	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	Homo sapiens (Human)	736	DNM1L	CARBOHYD 585 585 O-linked (GlcNAc) threonine. {ECO:0000250}.; CARBOHYD 586 586 O-linked (GlcNAc) threonine. {ECO:0000250}.
O00443	P3C2A_HUMAN	reviewed	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha)	Homo sapiens (Human)	1686	PIK3C2A	
O00461	GOLI4_HUMAN	reviewed	Golgi integral membrane protein 4 (Golgi integral membrane protein, cis) (GIMPc) (Golgi phosphoprotein 4) (Golgi-localized phosphoprotein of 130 kDa) (Golgi phosphoprotein of 130 kDa)	Homo sapiens (Human)	696	GOLIM4	CARBOHYD 257 257 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
