Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)
A2A288	ZC12D_HUMAN	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)	Homo sapiens (Human)	527	ZC3H12D	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]
Q5D1E8	ZC12A_HUMAN	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	Homo sapiens (Human)	599	ZC3H12A	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoskeleton [GO:0005856]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; protein-containing complex [GO:0032991]; rough endoplasmic reticulum [GO:0005791]; rough endoplasmic reticulum membrane [GO:0030867]
Q9Y5A9	YTHD2_HUMAN	YTH domain-containing family protein 2 (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)	Homo sapiens (Human)	579	YTHDF2	cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; P-body [GO:0000932]
A6NIX2	WTIP_HUMAN	Wilms tumor protein 1-interacting protein (WT1-interacting protein)	Homo sapiens (Human)	430	WTIP	adherens junction [GO:0005912]; cell-cell junction [GO:0005911]; nucleus [GO:0005634]; P-body [GO:0000932]; transcription factor complex [GO:0005667]
P26651	TTP_HUMAN	mRNA decay activator protein ZFP36 (G0/G1 switch regulatory protein 24) (Growth factor-inducible nuclear protein NUP475) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36)	Homo sapiens (Human)	326	ZFP36	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; ribonucleoprotein complex [GO:1990904]
Q9UPQ9	TNR6B_HUMAN	Trinucleotide repeat-containing gene 6B protein	Homo sapiens (Human)	1833	TNRC6B	cytosol [GO:0005829]; micro-ribonucleoprotein complex [GO:0035068]; nucleoplasm [GO:0005654]; P-body [GO:0000932]
Q8NDV7	TNR6A_HUMAN	Trinucleotide repeat-containing gene 6A protein (CAG repeat protein 26) (EMSY interactor protein) (GW182 autoantigen) (Protein GW1) (Glycine-tryptophan protein of 182 kDa)	Homo sapiens (Human)	1962	TNRC6A	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; micro-ribonucleoprotein complex [GO:0035068]; nucleoplasm [GO:0005654]; P-body [GO:0000932]
Q07352	TISB_HUMAN	mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (EGF-response factor 1) (ERF-1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)	Homo sapiens (Human)	338	ZFP36L1	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; ribonucleoprotein complex [GO:1990904]
P19474	RO52_HUMAN	E3 ubiquitin-protein ligase TRIM21 (EC 2.3.2.27) (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING finger protein 81) (RING-type E3 ubiquitin transferase TRIM21) (Ro(SS-A)) (Sjoegren syndrome type A antigen) (SS-A) (Tripartite motif-containing protein 21)	Homo sapiens (Human)	475	TRIM21	autophagosome [GO:0005776]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; ribonucleoprotein complex [GO:1990904]
Q92900	RENT1_HUMAN	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	Homo sapiens (Human)	1129	UPF1	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; exon-exon junction complex [GO:0035145]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; supraspliceosomal complex [GO:0044530]
