yourlist:M20181105AAFB7E4D2F1D05654627429E83DA5CCE019D69D	Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name	Glycosylation
A0AVT1	A0AVT1	reviewed	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	Homo sapiens (Human)	1052	UBA6	UBA6_HUMAN	
A1L020	A1L020	reviewed	RNA-binding protein MEX3A (RING finger and KH domain-containing protein 4)	Homo sapiens (Human)	520	MEX3A	MEX3A_HUMAN	
A1L0T0	A1L0T0	reviewed	Acetolactate synthase-like protein (EC 2.2.1.-) (IlvB-like protein)	Homo sapiens (Human)	632	ILVBL	ILVBL_HUMAN	
A1L390	A1L390	reviewed	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)	Homo sapiens (Human)	1219	PLEKHG3	PKHG3_HUMAN	
A1X283	A1X283	reviewed	SH3 and PX domain-containing protein 2B (Adapter protein HOFI) (Factor for adipocyte differentiation 49) (Tyrosine kinase substrate with four SH3 domains)	Homo sapiens (Human)	911	SH3PXD2B	SPD2B_HUMAN	
A2APB8	A2APB8	reviewed	Targeting protein for Xklp2	Mus musculus (Mouse)	745	Tpx2	TPX2_MOUSE	
A2RRP1	A2RRP1	reviewed	Neuroblastoma-amplified sequence (Neuroblastoma-amplified gene protein)	Homo sapiens (Human)	2371	NBAS	NBAS_HUMAN	
A3KMH1	A3KMH1	reviewed	von Willebrand factor A domain-containing protein 8	Homo sapiens (Human)	1905	VWA8	VWA8_HUMAN	CARBOHYD 284 284 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 855 855 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1096 1096 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1142 1142 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1833 1833 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
A5A6H5	A5A6H5	reviewed	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Pan troglodytes (Chimpanzee)	553	ATP5F1A	ATPA_PANTR	CARBOHYD 76 76 O-linked (GlcNAc) serine; alternate. {ECO:0000250}.
A5A6K4	A5A6K4	reviewed	Phosphoglycerate kinase 1 (EC 2.7.2.3)	Pan troglodytes (Chimpanzee)	417	PGK1	PGK1_PANTR	
A5A6M3	A5A6M3	reviewed	RNA-binding motif protein, X chromosome (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]	Pan troglodytes (Chimpanzee)	391	RBMX	RBMX_PANTR	
A5YKK6	A5YKK6	reviewed	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	Homo sapiens (Human)	2376	CNOT1	CNOT1_HUMAN	
A6NGN9	A6NGN9	reviewed	IgLON family member 5	Homo sapiens (Human)	336	IGLON5	IGLO5_HUMAN	CARBOHYD 41 41 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 49 49 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 67 67 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 137 137 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 288 288 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
A6NHL2	A6NHL2	reviewed	Tubulin alpha chain-like 3	Homo sapiens (Human)	446	TUBAL3	TBAL3_HUMAN	
A6NHR9	A6NHR9	reviewed	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-)	Homo sapiens (Human)	2005	SMCHD1	SMHD1_HUMAN	
A8MVW0	A8MVW0	reviewed	Protein FAM171A2	Homo sapiens (Human)	826	FAM171A2	F1712_HUMAN	CARBOHYD 66 66 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 201 201 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 221 221 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 265 265 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
A8MYA2	A8MYA2	reviewed	Uncharacterized protein CXorf49	Homo sapiens (Human)	514	CXorf49; CXorf49B	CX049_HUMAN	
