yourlist:M201904218471C63D39733769F8E060B506551E1205F956D	Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)
ALDH18A1	P54886	P5CS_HUMAN	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	Homo sapiens (Human)	795	ALDH18A1	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
ANXA1	P04083	ANXA1_HUMAN	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	Homo sapiens (Human)	346	ANXA1	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell-cell adherens junction [GO:0005913]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extrinsic component of endosome membrane [GO:0031313]; extrinsic component of external side of plasma membrane [GO:0031232]; extrinsic component of membrane [GO:0019898]; focal adhesion [GO:0005925]; lateral plasma membrane [GO:0016328]; mast cell granule [GO:0042629]; mitochondrial membrane [GO:0031966]; motile cilium [GO:0031514]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; sarcolemma [GO:0042383]; synaptic membrane [GO:0097060]; vesicle [GO:0031982]
APEX1	P27695	APEX1_HUMAN	DNA-(apurinic or apyrimidinic site) lyase (EC 3.1.-.-) (EC 4.2.99.18) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) lyase, mitochondrial]	Homo sapiens (Human)	318	APEX1	centrosome [GO:0005813]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nuclear chromosome, telomeric region [GO:0000784]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribosome [GO:0005840]; transcription factor complex [GO:0005667]
ATP5F1A	P25705	ATPA_HUMAN	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Homo sapiens (Human)	553	ATP5F1A	extracellular exosome [GO:0070062]; membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, catalytic core F(1) [GO:0000275]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex [GO:0045259]
Atx2	Q99700	ATX2_HUMAN	Ataxin-2 (Spinocerebellar ataxia type 2 protein) (Trinucleotide repeat-containing gene 13 protein)	Homo sapiens (Human)	1313	ATXN2	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]; ribonucleoprotein complex [GO:1990904]; trans-Golgi network [GO:0005802]
CCDC9B	Q6ZUT6	CCD9B_HUMAN	Coiled-coil domain-containing protein 9B	Homo sapiens (Human)	534	CCDC9B	
CCT6A	P40227	TCPZ_HUMAN	T-complex protein 1 subunit zeta (TCP-1-zeta) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (HTR3) (Tcp20)	Homo sapiens (Human)	531	CCT6A	chaperonin-containing T-complex [GO:0005832]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]
CDC5L	Q99459	CDC5L_HUMAN	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	Homo sapiens (Human)	802	CDC5L	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; protein-DNA complex [GO:0032993]; Prp19 complex [GO:0000974]; U2-type catalytic step 2 spliceosome [GO:0071007]
CNBP	P62633	CNBP_HUMAN	Cellular nucleic acid-binding protein (CNBP) (Zinc finger protein 9)	Homo sapiens (Human)	177	CNBP	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]
CNOT1	A5YKK6	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)	Homo sapiens (Human)	2376	CNOT1	CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634]; P-body [GO:0000932]; peroxisomal membrane [GO:0005778]
